state,participation,composite,year,child_pov_rate,region,election_2020
Alabama,1.0,19.2,2017-01-01,0.244,South,Red
Alaska,0.65,19.8,2017-01-01,0.145,West,Red
Arizona,0.62,19.7,2017-01-01,0.21,West,Blue
Arkansas,1.0,19.4,2017-01-01,0.225,South,Red
California,0.31,22.8,2017-01-01,0.18100000000000002,West,Blue
Colorado,1.0,20.8,2017-01-01,0.122,West,Blue
Connecticut,0.31,25.2,2017-01-01,0.13,Northeast,Blue
Delaware,0.18,24.1,2017-01-01,0.177,South,Blue
District of Columbia,0.32,24.2,2017-01-01,0.262,South,Blue
Florida,0.73,19.8,2017-01-01,0.20600000000000002,South,Red
Georgia,0.55,21.4,2017-01-01,0.215,South,Blue
Hawaii,0.9,19.0,2017-01-01,0.11900000000000001,West,Blue
Idaho,0.38,22.3,2017-01-01,0.14800000000000002,West,Red
Illinois,0.93,21.4,2017-01-01,0.17,Midwest,Blue
Indiana,0.35,22.6,2017-01-01,0.17800000000000002,Midwest,Red
Iowa,0.67,21.9,2017-01-01,0.126,Midwest,Red
Kansas,0.73,21.7,2017-01-01,0.147,Midwest,Red
Kentucky,1.0,20.0,2017-01-01,0.221,South,Red
Louisiana,1.0,19.5,2017-01-01,0.27699999999999997,South,Red
Maine,0.08,24.3,2017-01-01,0.142,Northeast,Blue
Maryland,0.28,23.6,2017-01-01,0.124,South,Blue
Massachusetts,0.29,25.4,2017-01-01,0.135,Northeast,Blue
Michigan,0.29,24.1,2017-01-01,0.196,Midwest,Blue
Minnesota,1.0,21.5,2017-01-01,0.11699999999999999,Midwest,Blue
Mississippi,1.0,18.6,2017-01-01,0.276,South,Red
Missouri,1.0,20.4,2017-01-01,0.185,Midwest,Red
Montana,1.0,20.3,2017-01-01,0.159,West,Red
Nebraska,0.84,21.4,2017-01-01,0.13699999999999998,Midwest,Red
Nevada,1.0,17.8,2017-01-01,0.192,West,Blue
New Hampshire,0.18,25.5,2017-01-01,0.1,Northeast,Blue
New Jersey,0.34,23.9,2017-01-01,0.138,Northeast,Blue
New Mexico,0.66,19.7,2017-01-01,0.259,West,Blue
New York,0.31,24.2,2017-01-01,0.19899999999999998,Northeast,Blue
North Carolina,1.0,19.1,2017-01-01,0.21,South,Red
North Dakota,0.98,20.3,2017-01-01,0.114,Midwest,Red
Ohio,0.75,22.0,2017-01-01,0.198,Midwest,Red
Oklahoma,1.0,19.4,2017-01-01,0.213,South,Red
Oregon,0.4,21.8,2017-01-01,0.165,West,Blue
Pennsylvania,0.23,23.7,2017-01-01,0.16899999999999998,Northeast,Blue
Rhode Island,0.21,24.0,2017-01-01,0.182,Northeast,Blue
South Carolina,1.0,18.7,2017-01-01,0.223,South,Red
South Dakota,0.8,21.8,2017-01-01,0.163,Midwest,Red
Tennessee,1.0,19.8,2017-01-01,0.21100000000000002,South,Red
Texas,0.45,20.7,2017-01-01,0.21,South,Red
Utah,1.0,20.3,2017-01-01,0.106,West,Red
Vermont,0.29,23.6,2017-01-01,0.128,Northeast,Blue
Virginia,0.29,23.8,2017-01-01,0.14,South,Blue
Washington,0.29,21.9,2017-01-01,0.142,West,Blue
West Virginia,0.69,20.4,2017-01-01,0.244,South,Red
Wisconsin,1.0,20.5,2017-01-01,0.146,Midwest,Blue
Wyoming,1.0,20.2,2017-01-01,0.129,West,Red
Alabama,1.0,19.1,2018-01-01,0.239,South,Red
Alaska,0.33,20.8,2018-01-01,0.145,West,Red
Arizona,0.66,19.2,2018-01-01,0.204,West,Blue
Arkansas,1.0,19.4,2018-01-01,0.23800000000000002,South,Red
California,0.27,22.7,2018-01-01,0.174,West,Blue
Colorado,0.3,23.9,2018-01-01,0.121,West,Blue
Connecticut,0.26,25.6,2018-01-01,0.138,Northeast,Blue
Delaware,0.17,23.8,2018-01-01,0.17600000000000002,South,Blue
District of Columbia,0.32,23.6,2018-01-01,0.245,South,Blue
Florida,0.66,19.9,2018-01-01,0.2,South,Red
Georgia,0.53,21.4,2018-01-01,0.21,South,Blue
Hawaii,0.89,18.9,2018-01-01,0.11800000000000001,West,Blue
Idaho,0.36,22.3,2018-01-01,0.142,West,Red
Illinois,0.43,23.9,2018-01-01,0.162,Midwest,Blue
Indiana,0.32,22.5,2018-01-01,0.175,Midwest,Red
Iowa,0.68,21.8,2018-01-01,0.135,Midwest,Red
Kansas,0.71,21.6,2018-01-01,0.14800000000000002,Midwest,Red
Kentucky,1.0,20.2,2018-01-01,0.223,South,Red
Louisiana,1.0,19.2,2018-01-01,0.265,South,Red
Maine,0.07,24.0,2018-01-01,0.14800000000000002,Northeast,Blue
Maryland,0.31,22.5,2018-01-01,0.121,South,Blue
Massachusetts,0.25,25.5,2018-01-01,0.124,Northeast,Blue
Michigan,0.22,24.2,2018-01-01,0.193,Midwest,Blue
Minnesota,0.99,21.3,2018-01-01,0.115,Midwest,Blue
Mississippi,1.0,18.6,2018-01-01,0.282,South,Red
Missouri,1.0,20.0,2018-01-01,0.183,Midwest,Red
Montana,1.0,20.0,2018-01-01,0.16399999999999998,West,Red
Nebraska,1.0,20.1,2018-01-01,0.129,Midwest,Red
Nevada,1.0,17.7,2018-01-01,0.184,West,Blue
New Hampshire,0.16,25.1,2018-01-01,0.10099999999999999,Northeast,Blue
New Jersey,0.31,23.7,2018-01-01,0.135,Northeast,Blue
New Mexico,0.67,19.4,2018-01-01,0.253,West,Blue
New York,0.27,24.5,2018-01-01,0.188,Northeast,Blue
North Carolina,1.0,19.1,2018-01-01,0.20199999999999999,South,Red
North Dakota,0.98,20.3,2018-01-01,0.11,Midwest,Red
Ohio,1.0,20.3,2018-01-01,0.192,Midwest,Red
Oklahoma,1.0,19.3,2018-01-01,0.214,South,Red
Oregon,0.42,21.3,2018-01-01,0.157,West,Blue
Pennsylvania,0.2,23.5,2018-01-01,0.16699999999999998,Northeast,Blue
Rhode Island,0.15,24.2,2018-01-01,0.18,Northeast,Blue
South Carolina,1.0,18.3,2018-01-01,0.221,South,Red
South Dakota,0.77,21.9,2018-01-01,0.161,Midwest,Red
Tennessee,1.0,19.6,2018-01-01,0.218,South,Red
Texas,0.45,20.7,2018-01-01,0.21100000000000002,South,Red
Utah,1.0,20.4,2018-01-01,0.09699999999999999,West,Red
Vermont,0.24,24.1,2018-01-01,0.122,Northeast,Blue
Virginia,0.24,23.9,2018-01-01,0.138,South,Blue
Washington,0.24,22.2,2018-01-01,0.126,West,Blue
West Virginia,0.65,20.3,2018-01-01,0.23199999999999998,South,Red
Wisconsin,1.0,20.5,2018-01-01,0.141,Midwest,Blue
Wyoming,1.0,20.0,2018-01-01,0.131,West,Red
Alabama,1.0,18.9,2019-01-01,0.21899999999999997,South,Red
Alaska,0.38,20.1,2019-01-01,0.132,West,Red
Arizona,0.73,19.0,2019-01-01,0.192,West,Blue
Arkansas,1.0,19.3,2019-01-01,0.217,South,Red
California,0.23,22.6,2019-01-01,0.156,West,Blue
Colorado,0.27,23.8,2019-01-01,0.11199999999999999,West,Blue
Connecticut,0.22,25.5,2019-01-01,0.135,Northeast,Blue
Delaware,0.13,24.1,2019-01-01,0.163,South,Blue
District of Columbia,0.32,23.5,2019-01-01,0.20800000000000002,South,Blue
Florida,0.54,20.1,2019-01-01,0.182,South,Red
Georgia,0.49,21.4,2019-01-01,0.195,South,Blue
Hawaii,0.8,19.0,2019-01-01,0.11199999999999999,West,Blue
Idaho,0.31,22.5,2019-01-01,0.127,West,Red
Illinois,0.35,24.3,2019-01-01,0.156,Midwest,Blue
Indiana,0.29,22.5,2019-01-01,0.151,Midwest,Red
Iowa,0.66,21.6,2019-01-01,0.128,Midwest,Red
Kansas,0.72,21.2,2019-01-01,0.14300000000000002,Midwest,Red
Kentucky,1.0,19.8,2019-01-01,0.209,South,Red
Louisiana,1.0,18.8,2019-01-01,0.264,South,Red
Maine,0.06,24.3,2019-01-01,0.138,Northeast,Blue
Maryland,0.28,22.3,2019-01-01,0.12300000000000001,South,Blue
Massachusetts,0.21,25.5,2019-01-01,0.12,Northeast,Blue
Michigan,0.19,24.4,2019-01-01,0.175,Midwest,Blue
Minnesota,0.95,21.4,2019-01-01,0.11,Midwest,Blue
Mississippi,1.0,18.4,2019-01-01,0.276,South,Red
Missouri,0.82,20.8,2019-01-01,0.17,Midwest,Red
Montana,1.0,19.8,2019-01-01,0.154,West,Red
Nebraska,1.0,20.0,2019-01-01,0.115,Midwest,Red
Nevada,1.0,17.9,2019-01-01,0.17600000000000002,West,Blue
New Hampshire,0.14,25.0,2019-01-01,0.081,Northeast,Blue
New Jersey,0.25,24.2,2019-01-01,0.122,Northeast,Blue
New Mexico,0.63,19.3,2019-01-01,0.235,West,Blue
New York,0.22,24.5,2019-01-01,0.182,Northeast,Blue
North Carolina,1.0,19.0,2019-01-01,0.193,South,Red
North Dakota,0.96,19.9,2019-01-01,0.109,Midwest,Red
Ohio,1.0,20.0,2019-01-01,0.18100000000000002,Midwest,Red
Oklahoma,1.0,18.9,2019-01-01,0.19699999999999998,South,Red
Oregon,0.42,21.1,2019-01-01,0.136,West,Blue
Pennsylvania,0.17,23.6,2019-01-01,0.165,Northeast,Blue
Rhode Island,0.12,24.7,2019-01-01,0.165,Northeast,Blue
South Carolina,0.78,18.8,2019-01-01,0.19899999999999998,South,Red
South Dakota,0.75,21.6,2019-01-01,0.149,Midwest,Red
Tennessee,1.0,19.4,2019-01-01,0.19399999999999998,South,Red
Texas,0.39,20.5,2019-01-01,0.192,South,Red
Utah,1.0,20.3,2019-01-01,0.096,West,Red
Vermont,0.2,24.1,2019-01-01,0.10800000000000001,Northeast,Blue
Virginia,0.21,24.0,2019-01-01,0.133,South,Blue
Washington,0.24,22.1,2019-01-01,0.12,West,Blue
West Virginia,0.49,20.8,2019-01-01,0.20800000000000002,South,Red
Wisconsin,1.0,20.3,2019-01-01,0.135,Midwest,Blue
Wyoming,1.0,19.8,2019-01-01,0.11699999999999999,West,Red
